tax	ZYMO_EVEN	ZYMO_LOG	total
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_agnetis	18	0	18
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Companilactobacillus;s__Companilactobacillus_farciminis	18	0	18
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_cecorum	0	17	17
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_knackmussii	0	17	17
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Anoxybacillaceae	0	16	16
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Anoxybacillaceae;g__Anoxybacillus;s__Anoxybacillus_gonensis	0	16	16
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Anoxybacillaceae;g__Anoxybacillus	0	16	16
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kosakonia	16	0	16
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter_pittii	0	16	16
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_oryzihabitans	0	16	16
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_sp._TCU-HL1	0	16	16
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kosakonia;s__Kosakonia_styphnolobii	16	0	16
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Pseudolactococcus	0	15	15
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_cavernae	0	15	15
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Pseudolactococcus;s__Pseudolactococcus_paracarnosus	0	15	15
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_rotai	15	0	15
d__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Kwoniella;s__Kwoniella_shivajii	15	0	15
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_gasseri	15	0	15
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus_zeae	0	14	14
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._DIV0724b	14	0	14
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus	0	14	14
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_durans	14	0	14
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_solani	0	14	14
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_iniae	0	14	14
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Shouchella	13	0	13
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Shouchella;s__Shouchella_clausii	13	0	13
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_farmeri	13	0	13
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_shinii	13	0	13
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Lamiales;f__Gesneriaceae	0	12	12
d__Bacteria;k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium_acnes	0	12	12
d__Bacteria;k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae	0	12	12
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus_reuteri	12	0	12
d__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Cryptococcus;s__Cryptococcus_deuterogattii	12	0	12
d__Bacteria;k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales	0	12	12
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_entomophila	0	12	12
d__Bacteria;k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	0	12	12
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Lamiales;f__Gesneriaceae;g__Primulina	0	12	12
d__Eukaryota;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Lamiales;f__Gesneriaceae;g__Primulina;s__Primulina_eburnea	0	12	12
d__Eukaryota;k__Fungi;p__Ascomycota;c__Pichiomycetes	0	11	11
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Priestia	0	11	11
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter_rodentium	11	0	11
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_oryzae	0	11	11
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Priestia;s__Priestia_megaterium	0	11	11
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_fonticola	11	0	11
d__Eukaryota;k__Fungi;p__Ascomycota;c__Pichiomycetes;o__Serinales;f__Debaryomycetaceae;g__Yamadazyma;s__Yamadazyma_tenuis	0	11	11
d__Eukaryota;k__Fungi;p__Ascomycota;c__Pichiomycetes;o__Serinales	0	11	11
d__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Kluyveromyces;s__Kluyveromyces_lactis	11	0	11
d__Eukaryota;k__Fungi;p__Ascomycota;c__Pichiomycetes;o__Serinales;f__Debaryomycetaceae;g__Yamadazyma	0	11	11
d__Eukaryota;k__Fungi;p__Ascomycota;c__Pichiomycetes;o__Serinales;f__Debaryomycetaceae	0	11	11
d__Eukaryota;k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Kluyveromyces	11	0	11
d__Bacteria;k__Bacillati;p__Cyanobacteriota;s__cyanobacterium_endosymbiont_of_Rhopalodia_gibberula	0	10	10
d__Bacteria;k__Bacillati;p__Cyanobacteriota	0	10	10
d__Eukaryota;k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Kwoniella;s__Kwoniella_dejecticola	10	0	10
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_sp._AMC1157	0	10	10
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_pseudomycoides	0	10	10
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Thermoactinomycetaceae	0	10	10
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_pseudintermedius	0	10	10
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Thermoactinomycetaceae;g__Thermoactinomyces;s__Thermoactinomyces_vulgaris	0	10	10
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Thermoactinomycetaceae;g__Thermoactinomyces	0	10	10
