# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-s" "2" "-t" "CDS" "-g" "locus_tag" "--countReadPairs" "-a" "results/00_REFERENCE/bakta/reference_filtered.gff3" "-o" "results/04_COUNTS/counts.tsv" "results/02_MAPPING/CTRL_D1_R1/CTRL_D1_R1.sorted.bam" "results/02_MAPPING/CTRL_D1_R2/CTRL_D1_R2.sorted.bam" "results/02_MAPPING/CTRL_D1_R3/CTRL_D1_R3.sorted.bam" "results/02_MAPPING/PU239_D1_R1/PU239_D1_R1.sorted.bam" "results/02_MAPPING/PU239_D1_R2/PU239_D1_R2.sorted.bam" "results/02_MAPPING/PU239_D1_R3/PU239_D1_R3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	results/02_MAPPING/CTRL_D1_R1/CTRL_D1_R1.sorted.bam	results/02_MAPPING/CTRL_D1_R2/CTRL_D1_R2.sorted.bam	results/02_MAPPING/CTRL_D1_R3/CTRL_D1_R3.sorted.bam	results/02_MAPPING/PU239_D1_R1/PU239_D1_R1.sorted.bam	results/02_MAPPING/PU239_D1_R2/PU239_D1_R2.sorted.bam	results/02_MAPPING/PU239_D1_R3/PU239_D1_R3.sorted.bam
IODOLM_02400	contig_1	2524611	2525423	-	813	295	4831	2901	728	647	1787
IODOLM_02401	contig_1	2525423	2526436	-	1014	165	5395	3404	1205	1233	2537
IODOLM_02402	contig_1	2526502	2527638	-	1137	177	5537	3312	2098	1977	4330
IODOLM_02403	contig_1	2527737	2528732	+	996	50	1177	699	564	564	1078
IODOLM_02404	contig_1	2528729	2529907	-	1179	32	837	511	504	471	1107
IODOLM_02405	contig_1	2530172	2531392	-	1221	190	7872	4381	7084	8652	19172
IODOLM_02406	contig_1	2531551	2533557	+	2007	43	813	471	704	701	1528
IODOLM_02407	contig_1	2533678	2533956	-	279	31	791	504	605	611	1080
IODOLM_02408	contig_1	2533990	2534538	-	549	54	1249	887	832	759	1606
IODOLM_02409	contig_1	2534538	2535347	-	810	52	1726	1154	902	815	1766
IODOLM_02410	contig_1	2535347	2536171	-	825	46	1508	1027	766	742	1624
IODOLM_02411	contig_1	2536175	2537260	-	1086	196	4993	3040	1996	1895	4263
IODOLM_02412	contig_1	2537295	2538227	-	933	84	2334	1416	1647	1642	3475
IODOLM_02413	contig_1	2538393	2538944	+	552	50	1128	646	616	559	1272
IODOLM_02414	contig_1	2539015	2539836	-	822	28	1383	771	956	925	2241
IODOLM_02415	contig_1	2539838	2540377	-	540	0	17	8	18	22	35
IODOLM_02416	contig_1	2540374	2540862	-	489	2	17	8	16	17	45
IODOLM_02417	contig_1	2540859	2541371	-	513	3	28	5	23	19	33
IODOLM_02418	contig_1	2541371	2542123	-	753	0	15	6	17	18	51
IODOLM_02419	contig_1	2542143	2543039	-	897	3	36	33	35	36	99
IODOLM_02420	contig_1	2543052	2544788	-	1737	15	229	129	237	268	652
IODOLM_02421	contig_1	2544870	2545433	-	564	0	8	12	20	11	28
IODOLM_02422	contig_1	2546114	2546599	-	486	145	3261	1786	3866	3796	8588
IODOLM_02423	contig_1	2546802	2548946	-	2145	17	333	184	476	429	987
IODOLM_02424	contig_1	2548946	2550256	-	1311	5	124	77	222	250	514
IODOLM_02425	contig_1	2550437	2550721	-	285	103	2114	1212	2301	1820	3560
IODOLM_02426	contig_1	2551093	2552433	+	1341	25	1662	988	997	935	1993
IODOLM_02427	contig_1	2552799	2553857	+	1059	1	21	10	108	85	212
IODOLM_02428	contig_1	2554039	2554794	-	756	54	1260	707	1472	1277	2838
IODOLM_02429	contig_1	2555088	2556020	+	933	14	261	148	342	298	751
IODOLM_02430	contig_1	2556332	2557489	+	1158	2	74	52	91	61	179
IODOLM_02431	contig_1	2558001	2558921	+	921	153	2782	1640	1967	2076	4504
IODOLM_02432	contig_1	2558918	2560249	+	1332	71	1095	779	526	890	1444
IODOLM_02433	contig_1	2560590	2560892	+	303	17	217	114	264	283	586
IODOLM_02434	contig_1	2560864	2561304	-	441	7	120	65	116	113	283
IODOLM_02435	contig_1	2561331	2561933	-	603	1	3	3	7	6	16
IODOLM_02436	contig_1	2561899	2562174	-	276	1	0	0	0	0	3
IODOLM_02437	contig_1	2562174	2562668	-	495	0	1	5	1	2	5
IODOLM_02438	contig_1	2562665	2563033	-	369	0	1	1	2	4	4
IODOLM_02439	contig_1	2563391	2563753	+	363	0	15	7	12	13	31
IODOLM_02440	contig_1	2563819	2564643	+	825	1	31	21	41	41	67
IODOLM_02441	contig_1	2564771	2565307	+	537	1	2	0	10	2	14
IODOLM_02442	contig_1	2565298	2565660	+	363	0	1	2	7	5	11
IODOLM_02443	contig_1	2565660	2565965	+	306	0	4	8	4	9	19
IODOLM_02444	contig_1	2566097	2566297	+	201	37	597	393	263	195	552
IODOLM_02445	contig_1	2566481	2567416	-	936	5	65	46	100	73	200
IODOLM_02446	contig_1	2567634	2568971	+	1338	3	75	35	70	70	159
IODOLM_02447	contig_1	2568989	2570317	+	1329	5	343	176	257	220	543
IODOLM_02448	contig_1	2570425	2571963	-	1539	1	50	28	58	64	200
IODOLM_02449	contig_1	2571963	2573126	-	1164	1	37	15	43	52	126
IODOLM_02450	contig_1	2573542	2574156	+	615	16	413	244	1495	1422	3468
IODOLM_02451	contig_1	2574161	2577754	+	3594	73	1572	1107	1446	1427	3437
IODOLM_02452	contig_1	2577810	2578955	-	1146	4	42	22	101	108	284
IODOLM_02453	contig_1	2579029	2579973	-	945	1	16	9	49	38	118
IODOLM_02454	contig_1	2580043	2581737	-	1695	4	73	20	94	95	215
IODOLM_02455	contig_1	2581791	2583041	-	1251	5	56	27	91	83	188
IODOLM_02456	contig_1	2583554	2584189	-	636	4	44	35	39	39	93
IODOLM_02457	contig_1	2584485	2584760	+	276	0	4	6	6	4	18
IODOLM_02458	contig_1	2584837	2585079	-	243	11	378	190	304	393	782
IODOLM_02459	contig_1	2585432	2586352	+	921	281	11556	6642	2353	2113	4579
IODOLM_02460	contig_1	2586844	2588082	-	1239	108	3996	2157	641	662	1574
IODOLM_02461	contig_1	2588458	2590155	+	1698	40	1000	573	354	315	708
IODOLM_02462	contig_1	2590170	2590904	+	735	46	1030	557	341	325	786
IODOLM_02463	contig_1	2590917	2591774	+	858	20	502	287	229	203	483
IODOLM_02464	contig_1	2591777	2594272	-	2496	5	173	99	139	141	348
IODOLM_02465	contig_1	2594297	2595334	-	1038	2	45	22	36	22	90
IODOLM_02466	contig_1	2595334	2596419	-	1086	1	59	29	38	28	92
IODOLM_02467	contig_1	2596434	2597681	-	1248	1	26	16	34	38	101
IODOLM_02468	contig_1	2597703	2598029	-	327	0	9	2	11	7	24
IODOLM_02469	contig_1	2598248	2599213	-	966	88	2445	1504	1641	1528	3554
IODOLM_02470	contig_1	2599417	2600673	+	1257	9	342	206	200	227	495
IODOLM_02471	contig_1	2600788	2601114	+	327	8	273	164	166	129	376
IODOLM_02472	contig_1	2601255	2602493	-	1239	471	10904	5493	3907	4071	10085
IODOLM_02473	contig_1	2602829	2604031	+	1203	19	746	505	1249	1356	2457
IODOLM_02474	contig_1	2604118	2605230	+	1113	22	642	339	978	964	2532
IODOLM_02475	contig_1	2605253	2605393	+	141	0	12	7	27	29	63
IODOLM_02476	contig_1	2605430	2607619	-	2190	69	1820	1060	706	617	1431
IODOLM_02477	contig_1	2608239	2608598	+	360	20	600	323	229	263	559
IODOLM_02478	contig_1	2608621	2608992	+	372	9	321	168	151	123	322
IODOLM_02479	contig_1	2609044	2610459	-	1416	449	11190	6625	6646	6211	13713
IODOLM_02480	contig_1	2611380	2612264	-	885	18	426	226	462	391	1101
IODOLM_02481	contig_1	2612516	2613772	-	1257	4	209	84	113	87	234
IODOLM_02482	contig_1	2613832	2614665	-	834	1	18	17	21	28	46
IODOLM_02483	contig_1	2614914	2615678	+	765	3	85	28	49	54	135
IODOLM_02484	contig_1	2615717	2616643	-	927	5	224	101	162	165	425
IODOLM_02485	contig_1	2616733	2617731	+	999	46	2279	1054	453	425	854
IODOLM_02486	contig_1	2617728	2617946	-	219	5	119	90	88	79	176
IODOLM_02487	contig_1	2617948	2619963	-	2016	85	1929	1141	1834	1658	3791
IODOLM_02488	contig_1	2620034	2621020	-	987	221	4716	2491	5107	4103	11339
IODOLM_02489	contig_1	2621250	2622011	+	762	13	1082	595	371	336	756
IODOLM_02490	contig_1	2622196	2623167	+	972	145	5987	3256	14255	14178	40865
IODOLM_02491	contig_1	2623551	2623808	+	258	146	5183	2939	6571	6193	12594
IODOLM_02492	contig_1	2623853	2625580	+	1728	976	34887	19869	22771	20947	45284
IODOLM_02493	contig_1	2625621	2626130	+	510	448	15220	8212	11066	10977	22257
IODOLM_02494	contig_1	2626173	2627024	-	852	15	621	355	452	430	923
IODOLM_02495	contig_1	2627129	2627503	+	375	3	57	27	42	38	120
IODOLM_02496	contig_1	2627536	2628270	+	735	9	260	141	120	115	289
IODOLM_02497	contig_1	2628459	2629370	-	912	108	1698	985	783	669	1981
IODOLM_02498	contig_1	2629504	2630601	-	1098	17	664	331	1225	917	3376
IODOLM_02499	contig_1	2630591	2631466	-	876	19	465	303	920	702	2179
IODOLM_02500	contig_1	2631466	2632299	-	834	10	296	175	521	492	1701
IODOLM_02501	contig_1	2632299	2633315	-	1017	13	549	302	1482	1586	4709
IODOLM_02502	contig_1	2633619	2634410	-	792	87	1669	972	1017	954	2096
IODOLM_02503	contig_1	2634539	2635396	-	858	2	39	32	42	30	89
IODOLM_02504	contig_1	2635560	2636456	+	897	3	145	79	75	57	147
IODOLM_02505	contig_1	2636460	2637884	+	1425	3	172	96	81	68	170
IODOLM_02506	contig_1	2637889	2639193	+	1305	12	219	164	105	104	191
IODOLM_02507	contig_1	2639433	2640332	-	900	86	3141	1867	1549	1513	3474
IODOLM_02508	contig_1	2640428	2641003	-	576	46	956	575	669	606	1683
IODOLM_02509	contig_1	2641064	2641513	-	450	14	394	243	218	198	516
IODOLM_02510	contig_1	2641500	2641925	-	426	24	720	361	292	301	729
IODOLM_02511	contig_1	2642139	2643008	+	870	64	1231	661	1279	1132	2743
IODOLM_02512	contig_1	2643012	2643911	+	900	20	716	415	628	548	1473
IODOLM_02513	contig_1	2643917	2644969	-	1053	13	260	153	127	112	288
IODOLM_02514	contig_1	2645015	2645515	-	501	5	203	98	162	139	294
IODOLM_02515	contig_1	2645528	2646187	-	660	7	165	105	115	95	295
IODOLM_02516	contig_1	2646197	2647084	-	888	5	160	89	130	112	372
IODOLM_02517	contig_1	2647105	2648466	-	1362	3	181	136	244	176	489
IODOLM_02518	contig_1	2648645	2649853	+	1209	52	1272	805	808	834	2026
IODOLM_02519	contig_1	2650158	2650685	+	528	15	340	164	92	89	183
IODOLM_02520	contig_1	2651158	2651400	+	243	0	11	7	6	5	21
IODOLM_02521	contig_1	2651412	2651780	+	369	0	26	16	12	9	28
IODOLM_02522	contig_1	2651898	2652314	+	417	2	44	21	25	42	88
IODOLM_02523	contig_1	2652311	2652904	+	594	1	62	41	68	51	132
IODOLM_02524	contig_1	2653379	2653756	+	378	0	12	17	4	9	17
IODOLM_02525	contig_1	2653767	2654159	+	393	3	362	165	223	238	647
IODOLM_02526	contig_1	2654310	2655119	+	810	25	575	329	226	178	418
IODOLM_02527	contig_1	2655268	2656671	-	1404	4	92	41	82	46	140
IODOLM_02528	contig_1	2656668	2657894	-	1227	4	72	48	73	45	145
IODOLM_02529	contig_1	2658111	2659298	-	1188	4	39	30	21	24	65
IODOLM_02530	contig_1	2659288	2660124	-	837	3	25	11	12	12	35
IODOLM_02531	contig_1	2660135	2661538	-	1404	2	15	5	9	17	26
IODOLM_02532	contig_1	2661550	2661837	-	288	0	6	3	5	5	7
IODOLM_02533	contig_1	2661944	2662237	-	294	0	15	6	19	17	39
IODOLM_02534	contig_1	2662276	2663292	-	1017	0	28	15	32	19	64
IODOLM_02535	contig_1	2663289	2664092	-	804	0	7	7	6	9	42
IODOLM_02536	contig_1	2664089	2664790	-	702	0	10	2	12	11	19
IODOLM_02537	contig_1	2664765	2665244	-	480	0	0	0	10	14	16
IODOLM_02538	contig_1	2665257	2665592	-	336	1	4	6	1	7	15
IODOLM_02539	contig_1	2665885	2668164	-	2280	194	4127	2605	2222	2216	5245
IODOLM_02540	contig_1	2668453	2669403	+	951	32	1222	740	5447	4465	10763
IODOLM_02541	contig_1	2669423	2671426	+	2004	152	5199	2695	8722	7070	16889
IODOLM_02542	contig_1	2671521	2672564	-	1044	65	816	535	459	374	944
IODOLM_02543	contig_1	2672690	2673265	-	576	46	1029	620	627	546	1187
IODOLM_02544	contig_1	2673333	2675312	-	1980	17	372	233	220	193	455
IODOLM_02545	contig_1	2675518	2677218	+	1701	51	1341	758	522	510	1249
IODOLM_02546	contig_1	2677382	2680495	+	3114	41	1632	957	555	563	1353
IODOLM_02547	contig_1	2680594	2680653	-	60	73	1662	768	332	360	675
IODOLM_02548	contig_1	2681034	2681390	+	357	14	259	138	479	459	1104
IODOLM_02549	contig_1	2681394	2682521	+	1128	72	1556	944	1493	1349	3387
IODOLM_02550	contig_1	2682549	2682749	+	201	17	440	243	588	478	1247
IODOLM_02551	contig_1	2682859	2683557	-	699	58	1108	537	784	769	1593
IODOLM_02552	contig_1	2683631	2685646	-	2016	64	1548	979	1439	1304	3115
IODOLM_02553	contig_1	2685661	2686524	-	864	116	2085	1147	1495	1365	2901
IODOLM_02554	contig_1	2686692	2687405	-	714	15	1053	869	3365	3354	5849
IODOLM_02555	contig_1	2687477	2687707	+	231	1	8	5	14	18	34
IODOLM_02556	contig_1	2687618	2688652	-	1035	423	10216	5881	5925	5899	12880
IODOLM_02557	contig_1	2688669	2689547	-	879	468	11795	6795	6306	6017	13344
IODOLM_02558	contig_1	2689693	2690265	+	573	50	2317	1242	978	916	2440
IODOLM_02559	contig_1	2690265	2690735	+	471	133	3532	1988	1480	1355	2670
IODOLM_02560	contig_1	2690988	2691605	+	618	0	20	13	17	9	58
IODOLM_02561	contig_1	2691605	2693623	+	2019	2	167	75	100	83	231
IODOLM_02562	contig_1	2693634	2694581	+	948	0	21	26	18	20	28
IODOLM_02563	contig_1	2694598	2696037	+	1440	0	52	36	38	29	76
IODOLM_02564	contig_1	2696049	2696699	+	651	0	30	20	20	25	44
IODOLM_02565	contig_1	2696704	2698284	+	1581	9	222	135	222	196	476
IODOLM_02566	contig_1	2698274	2699941	+	1668	8	201	107	175	160	404
IODOLM_02567	contig_1	2699951	2700496	+	546	3	40	43	41	42	85
IODOLM_02568	contig_1	2700493	2701251	+	759	0	74	50	56	53	142
IODOLM_02569	contig_1	2701244	2701657	+	414	3	52	39	28	28	92
IODOLM_02570	contig_1	2701687	2703699	+	2013	7	121	64	125	122	293
IODOLM_02571	contig_1	2703721	2704569	+	849	2	100	56	82	80	188
IODOLM_02572	contig_1	2704607	2705668	-	1062	64	1961	1060	793	733	1675
IODOLM_02573	contig_1	2705881	2707344	+	1464	115	3164	1928	1021	962	2427
IODOLM_02574	contig_1	2707365	2707724	+	360	45	1239	735	529	452	1190
IODOLM_02575	contig_1	2707862	2708608	-	747	78	1220	631	430	492	1138
IODOLM_02576	contig_1	2708658	2709947	-	1290	7	196	146	334	296	628
IODOLM_02577	contig_1	2710033	2710659	-	627	31	945	556	1703	1571	3451
IODOLM_02578	contig_1	2710984	2712021	+	1038	28	828	728	2486	2411	4440
IODOLM_02579	contig_1	2712021	2712659	+	639	24	640	514	1091	1076	2042
IODOLM_02580	contig_1	2712831	2714897	+	2067	161	6916	4179	2275	2196	4782
IODOLM_02581	contig_1	2714902	2716443	+	1542	216	7057	4075	1749	1610	3477
IODOLM_02582	contig_1	2716482	2718725	-	2244	8	124	51	136	136	301
IODOLM_02583	contig_1	2718907	2719059	-	153	0	2	1	3	2	2
IODOLM_02584	contig_1	2719095	2719268	+	174	20	146	89	699	682	1607
IODOLM_02585	contig_1	2719582	2720097	+	516	2	41	23	43	35	71
IODOLM_02586	contig_1	2720113	2720652	+	540	6	123	73	79	70	228
IODOLM_02587	contig_1	2720745	2722322	-	1578	276	12488	7931	11043	10364	19710
IODOLM_02588	contig_1	2722391	2723857	-	1467	109	4851	3243	6369	5562	11096
IODOLM_02589	contig_1	2724019	2725389	+	1371	85	3591	1915	4841	4212	10898
IODOLM_02590	contig_1	2725386	2725601	-	216	21	479	299	532	519	1144
IODOLM_02591	contig_1	2725671	2727143	-	1473	316	7587	4718	4613	4398	10058
IODOLM_02592	contig_1	2727261	2728439	-	1179	510	12650	8369	6003	5782	12971
IODOLM_02593	contig_1	2728450	2729070	-	621	397	6862	4490	2493	2415	5271
IODOLM_02594	contig_1	2729088	2730362	-	1275	598	13668	8164	6244	5906	12836
IODOLM_02595	contig_1	2730473	2731591	-	1119	396	11346	6918	5992	5712	14121
IODOLM_02596	contig_1	2731618	2732631	-	1014	243	7182	4396	4778	4485	10006
IODOLM_02597	contig_1	2732916	2734070	-	1155	128	3780	2501	3467	3043	7004
IODOLM_02598	contig_1	2734220	2734651	-	432	9	316	186	526	573	1163
IODOLM_02599	contig_1	2734800	2737073	-	2274	14	419	273	347	321	828
IODOLM_02600	contig_1	2737113	2742074	-	4962	257	6699	3912	4974	4361	10848
IODOLM_02601	contig_1	2742281	2743126	+	846	47	1519	909	1002	898	1968
IODOLM_02602	contig_1	2743944	2744720	-	777	43	1433	776	3156	3207	7727
IODOLM_02603	contig_1	2744862	2746145	-	1284	171	5954	3718	9712	9262	22829
IODOLM_02604	contig_1	2746323	2746523	-	201	64	2533	1637	1804	1745	4374
IODOLM_02605	contig_1	2746535	2746870	-	336	195	4749	2983	2849	2763	6779
IODOLM_02606	contig_1	2746872	2748722	-	1851	926	18677	10725	7422	7503	20507
IODOLM_02607	contig_1	2748739	2749254	-	516	230	6024	3763	1981	1881	5868
IODOLM_02608	contig_1	2749350	2749673	-	324	935	30412	17606	5016	5122	13681
IODOLM_02609	contig_1	2749690	2750076	-	387	1303	33338	18015	4912	5278	14636
IODOLM_02610	contig_1	2750104	2751318	-	1215	2128	75266	41584	13844	14057	42076
IODOLM_02611	contig_1	2751430	2751918	-	489	527	21975	11526	7867	8237	23370
IODOLM_02612	contig_1	2752370	2753110	-	741	166	3978	1964	1904	1794	3686
IODOLM_02613	contig_1	2753229	2754032	+	804	28	547	332	1414	1150	3084
IODOLM_02614	contig_1	2754177	2755031	+	855	0	23	15	58	38	122
IODOLM_02615	contig_1	2755222	2756502	+	1281	21	1154	759	655	607	1404
IODOLM_02616	contig_1	2756494	2757633	-	1140	20	708	431	595	587	1243
IODOLM_02617	contig_1	2757793	2758683	-	891	10	84	32	134	167	341
IODOLM_02618	contig_1	2758819	2760180	+	1362	52	1538	889	664	606	1502
IODOLM_02619	contig_1	2760177	2760695	+	519	14	244	173	163	168	474
IODOLM_02620	contig_1	2760695	2761015	+	321	3	148	89	99	79	243
IODOLM_02621	contig_1	2761012	2761824	+	813	21	548	322	300	296	747
IODOLM_02622	contig_1	2761834	2763036	+	1203	29	710	450	314	285	875
IODOLM_02623	contig_1	2763133	2763555	+	423	9	203	103	567	465	1103
IODOLM_02624	contig_1	2763603	2764475	-	873	9	262	143	177	192	380
IODOLM_02625	contig_1	2764487	2765548	-	1062	16	293	182	241	228	537
IODOLM_02626	contig_1	2765614	2766612	-	999	6	91	33	75	98	222
IODOLM_02627	contig_1	2766637	2768148	-	1512	1	80	31	108	96	244
IODOLM_02628	contig_1	2768171	2769154	-	984	3	37	15	55	59	143
IODOLM_02629	contig_1	2769251	2772532	-	3282	20	215	166	118	92	286
IODOLM_02630	contig_1	2772650	2773843	+	1194	48	1038	511	535	533	1328
IODOLM_02631	contig_1	2774041	2775294	-	1254	201	7307	4628	7622	7473	13565
IODOLM_02632	contig_1	2775622	2776812	+	1191	66	1124	524	289	275	652
IODOLM_02633	contig_1	2776857	2777195	-	339	53	1445	746	618	584	1412
IODOLM_02634	contig_1	2777256	2778590	-	1335	65	1693	929	892	802	1947
IODOLM_02635	contig_1	2778580	2779293	-	714	33	972	597	704	627	1580
IODOLM_02636	contig_1	2779458	2780840	-	1383	72	1629	861	909	863	1967
IODOLM_02637	contig_1	2781443	2785330	-	3888	47	1737	1741	7565	7551	14779
IODOLM_02638	contig_1	2785588	2787144	+	1557	16	258	145	166	153	364
IODOLM_02639	contig_1	2787141	2787644	-	504	25	358	205	849	708	1711
IODOLM_02640	contig_1	2787702	2788337	-	636	31	864	450	1760	1640	3406
IODOLM_02641	contig_1	2788546	2789394	+	849	10	268	152	331	266	671
IODOLM_02642	contig_1	2789450	2789710	+	261	7	164	90	270	204	699
IODOLM_02643	contig_1	2790405	2790785	-	381	20	444	240	288	257	615
IODOLM_02644	contig_1	2790785	2791516	-	732	158	2530	1474	1423	1298	2981
IODOLM_02645	contig_1	2791528	2792256	-	729	64	1406	928	808	758	1741
IODOLM_02646	contig_1	2792268	2793173	-	906	259	6543	3931	3054	2913	6436
IODOLM_02647	contig_1	2793170	2793850	-	681	188	3550	2250	1942	1782	4280
IODOLM_02648	contig_1	2794122	2795096	-	975	430	8477	5154	3197	2997	7115
IODOLM_02649	contig_1	2795112	2796911	-	1800	348	10603	6806	5848	5349	12819
IODOLM_02650	contig_1	2797109	2797588	-	480	39	954	715	959	816	2134
IODOLM_02651	contig_1	2797585	2798541	-	957	131	3765	2559	3235	2719	7591
IODOLM_02652	contig_1	2798541	2799191	-	651	336	9171	5550	17332	16706	34854
IODOLM_02653	contig_1	2799224	2799799	-	576	462	8611	4591	8084	7915	17212
IODOLM_02654	contig_1	2800207	2801829	+	1623	40	1040	675	720	649	1635
IODOLM_02655	contig_1	2801814	2802551	-	738	50	936	508	366	322	843
IODOLM_02656	contig_1	2802683	2804017	+	1335	80	2090	1477	2433	2039	4919
IODOLM_02657	contig_1	2804226	2805107	-	882	74	1814	967	477	391	985
IODOLM_02658	contig_1	2805210	2805797	+	588	26	517	243	167	194	451
IODOLM_02659	contig_1	2805853	2806236	-	384	115	4555	2896	40895	35964	71548
IODOLM_02660	contig_1	2806541	2807230	+	690	24	690	375	469	375	1024
IODOLM_02661	contig_1	2807278	2808315	-	1038	156	3599	2038	2011	1730	4012
IODOLM_02662	contig_1	2808522	2808941	+	420	52	2043	1009	991	970	2054
IODOLM_02663	contig_1	2809010	2809708	+	699	16	403	276	205	206	450
IODOLM_02664	contig_1	2809740	2812400	+	2661	86	2429	1418	1265	1203	2805
IODOLM_02665	contig_1	2812514	2813869	+	1356	170	5276	3071	3728	3152	7684
IODOLM_02666	contig_1	2813966	2814238	+	273	0	121	82	118	87	223
IODOLM_02667	contig_1	2814235	2815533	-	1299	469	12512	6286	24181	25176	59223
IODOLM_02668	contig_1	2817118	2817237	-	120	35990	7736	5167	4079	149	589
IODOLM_02669	contig_1	2819503	2819757	-	255	72416	2026	2512	3451	192	706
IODOLM_02670	contig_1	2821387	2823960	-	2574	397	10268	5926	35903	39589	99656
IODOLM_02671	contig_1	2824090	2824821	-	732	44	1107	701	874	795	2026
IODOLM_02672	contig_1	2824818	2825798	-	981	72	1913	1210	1893	1709	4039
IODOLM_02673	contig_1	2825933	2826670	+	738	287	7398	4367	3577	3323	7276
IODOLM_02674	contig_1	2826941	2827282	+	342	1308	57743	29454	4723	4755	7582
IODOLM_02675	contig_1	2827532	2828692	+	1161	100	3739	2507	4486	4482	9095
IODOLM_02676	contig_1	2828735	2829856	-	1122	125	2528	1519	4458	3512	8929
IODOLM_02677	contig_1	2829867	2830937	-	1071	94	2985	1683	6497	4914	12741
IODOLM_02678	contig_1	2831150	2831512	+	363	3	82	40	144	123	320
IODOLM_02679	contig_1	2831662	2832180	+	519	10	278	176	451	380	1138
IODOLM_02680	contig_1	2832170	2833396	+	1227	10	429	250	418	425	933
IODOLM_02681	contig_1	2833412	2833894	+	483	10	193	106	391	392	882
IODOLM_02682	contig_1	2833970	2834317	-	348	474	11326	7144	16968	16457	33992
IODOLM_02683	contig_1	2834359	2835126	-	768	1571	25349	15747	43075	39257	84473
IODOLM_02684	contig_1	2835157	2835705	-	549	1242	22327	14187	38037	34589	69866
IODOLM_02685	contig_1	2835724	2835972	-	249	342	7821	4957	17719	16654	33534
IODOLM_02686	contig_1	2836221	2837582	-	1362	510	14074	8102	5134	4904	10673
IODOLM_02687	contig_1	2837674	2838540	+	867	37	865	493	600	530	1169
IODOLM_02688	contig_1	2838606	2839847	+	1242	88	2216	1425	616	585	1441
IODOLM_02689	contig_1	2839902	2840495	-	594	142	4196	2420	8655	9673	20591
IODOLM_02690	contig_1	2840618	2841496	+	879	30	1102	680	981	817	2020
IODOLM_02691	contig_1	2841582	2843243	+	1662	12	374	241	238	234	525
IODOLM_02692	contig_1	2843392	2843733	+	342	94	4033	2110	2120	1941	4448
IODOLM_02693	contig_1	2843795	2844085	-	291	20	535	287	156	143	339
IODOLM_02694	contig_1	2844075	2844524	-	450	42	1007	535	376	392	835
IODOLM_02695	contig_1	2844683	2845165	+	483	21	796	545	1142	945	2250
IODOLM_02697	contig_1	2845946	2847187	+	1242	55	1778	997	711	676	1586
IODOLM_02698	contig_1	2847431	2848387	-	957	10	183	118	296	280	700
IODOLM_02699	contig_1	2848431	2848643	+	213	1	9	7	22	24	67
IODOLM_02700	contig_1	2848772	2850181	+	1410	0	48	26	104	65	173
IODOLM_02701	contig_1	2850334	2850960	+	627	3	30	9	42	47	107
IODOLM_02702	contig_1	2851138	2853327	-	2190	19	698	492	849	741	1842
IODOLM_02703	contig_1	2853324	2854940	-	1617	28	671	419	773	711	1833
IODOLM_02704	contig_1	2855705	2856778	+	1074	224	4835	2520	3249	2920	7189
IODOLM_02705	contig_1	2856771	2857142	+	372	28	772	454	1024	847	2208
IODOLM_02706	contig_1	2857497	2858360	+	864	2	115	52	78	72	190
IODOLM_02707	contig_1	2858452	2859273	+	822	1	29	15	57	53	102
IODOLM_02708	contig_1	2859490	2860191	+	702	0	4	10	21	17	28
IODOLM_02709	contig_1	2860232	2860468	+	237	0	4	1	4	2	13
IODOLM_02710	contig_1	2860468	2860911	+	444	0	7	2	16	7	15
IODOLM_02711	contig_1	2860935	2861402	+	468	0	15	10	24	28	58
IODOLM_02712	contig_1	2861627	2861941	-	315	2	95	38	110	93	224
IODOLM_02713	contig_1	2861954	2862547	-	594	12	256	144	131	84	304
IODOLM_02714	contig_1	2862623	2862823	-	201	3	47	29	34	35	56
IODOLM_02715	contig_1	2863105	2864808	+	1704	21	379	269	348	389	812
IODOLM_02716	contig_1	2865706	2866164	+	459	0	0	0	6	0	4
IODOLM_02717	contig_1	2866173	2866655	+	483	0	1	2	3	4	14
IODOLM_02718	contig_1	2866664	2866864	+	201	0	6	2	14	5	25
IODOLM_02719	contig_1	2866902	2867219	+	318	0	2	3	7	7	14
IODOLM_02720	contig_1	2867240	2867569	+	330	2	7	2	13	8	25
IODOLM_02721	contig_1	2867933	2872513	-	4581	34	505	304	895	920	2251
IODOLM_02722	contig_1	2873425	2874216	-	792	0	29	15	23	33	69
IODOLM_02723	contig_1	2874316	2874798	-	483	0	2	2	2	8	21
IODOLM_02724	contig_1	2876184	2876516	+	333	0	1	0	2	4	5
IODOLM_02725	contig_1	2876535	2877221	+	687	0	2	1	0	8	4
IODOLM_02726	contig_1	2877234	2878025	+	792	0	17	11	14	9	32
IODOLM_02727	contig_1	2878772	2879749	+	978	9	202	102	368	340	904
IODOLM_02728	contig_1	2879769	2881037	+	1269	5	262	139	593	454	1352
IODOLM_02729	contig_1	2881060	2882508	+	1449	20	571	317	1476	1219	2946
IODOLM_02730	contig_1	2882522	2883802	+	1281	35	1093	580	1380	1135	2559
IODOLM_02731	contig_1	2884040	2885440	+	1401	1	419	255	494	440	1031
IODOLM_02732	contig_1	2885461	2886123	+	663	31	933	496	563	474	1138
IODOLM_02733	contig_1	2886124	2886573	-	450	134	4562	2392	2958	2603	5726
