locus_tag	Gene	Product	COG_category	KEGG_Pathway
IODOLM_02204	yohO	UPF0387 membrane protein YohO	-	-
IODOLM_02207	yehY	glycine betaine ABC transporter permease YehY	P	ko02010,map02010
IODOLM_02208	osmF	glycine betaine ABC transporter substrate-binding protein OsmF	M	ko02010,map02010
IODOLM_02209		beta-glucosidase	G	ko00460,ko00500,ko00940,ko01100,ko01110,map00460,map00500,map00940,map01100,map01110
IODOLM_02210		Quinone-dependent D-lactate dehydrogenase	C	ko00620,ko01120,map00620,map01120
IODOLM_02211		Peptidase S11 D-alanyl-D-alanine carboxypeptidase A N-terminal domain-containing protein	M	-
IODOLM_02212		Yip1 domain-containing protein	S	-
IODOLM_02213	yohD	Inner membrane protein YohD	S	-
IODOLM_02217	yohJ	UPF0299 membrane protein YohJ	S	-
IODOLM_02218	yohK	Inner membrane protein YohK	M	-
IODOLM_02222	preT	NAD-dependent dihydropyrimidine dehydrogenase subunit PreT	C	ko00240,ko00410,ko00770,ko01100,map00240,map00410,map00770,map01100
IODOLM_02224	mglC	Galactoside transporter permease MglC	G	ko02010,map02010
IODOLM_02226		Ribose/galactose/methyl galactoside import ATP-binding protein	P	ko02010,map02010
IODOLM_02227	mglB	D-galactose/methyl-galactoside binding periplasmic protein MglB	G	ko02010,ko02030,map02010,map02030
IODOLM_02229		DUF418 domain-containing protein	S	-
IODOLM_02232		Colicin I receptor	P	ko02020,map02020
IODOLM_02233	lysP	lysine-specific permease	E	-
IODOLM_02236		putative endonuclease 4	L	ko03410,map03410
IODOLM_02240	yeiL	Regulatory protein YeiL	K	-
IODOLM_02244		PTS system fructose-specific EIIB'BC component	G	ko00051,ko01100,ko01120,ko02060,map00051,map01100,map01120,map02060
IODOLM_02246	fruB	fused PTS fructose transporter subunit IIA/HPr protein	G	ko00051,ko01100,ko01120,ko02060,map00051,map01100,map01120,map02060
IODOLM_02250		D-mannonate oxidoreductase	G	ko00040,ko01100,map00040,map01100
IODOLM_02251	yeiR	zinc-binding GTPase YeiR	S	-
IODOLM_02252	lpxT	Kdo(2)-lipid A phosphotransferase	I	-
IODOLM_02253		Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase	M	-
IODOLM_02254	pdeN	putative cyclic di-GMP phosphodiesterase PdeN	T	-
IODOLM_02257	yejE	Inner membrane ABC transporter permease protein YejE	P	ko02010,map02010
IODOLM_02258		ABC-type dipeptide transporter	P	ko01503,ko02010,map01503,map02010
IODOLM_02259		hypothetical protein	S	-
IODOLM_02260	bcr	multidrug efflux MFS transporter Bcr	U	-
IODOLM_02261		Ribosomal small subunit pseudouridine synthase A	J	-
IODOLM_02262		Large ribosomal subunit protein bL25	L	-
IODOLM_02263		hypothetical protein	J	ko03010,map03010
IODOLM_02264	yejK	Nucleoid-associated protein YejK	S	-
IODOLM_02266	yejM	Inner membrane protein YejM	S	-
IODOLM_02267	yejO	Putative uncharacterized outer membrane protein YejO	MU	-
IODOLM_02269	narP	Nitrate/nitrite response regulator protein NarP	K	ko02020,map02020
IODOLM_02270	ccmH	cytochrome c-type biogenesis thiol:disulfide oxidoreductase CcmH	P	-
IODOLM_02271	dsbE	Thiol:disulfide interchange protein DsbE	O	-
IODOLM_02272	ccmF	cytochrome c-type biogenesis heme lyase CcmF	O	-
IODOLM_02278	napC	Cytochrome c-type protein NapC	C	-
IODOLM_02281		Quinol dehydrogenase periplasmic component	C	-
IODOLM_02286		Ecotin	M	-
IODOLM_02287		putative malate:quinone oxidoreductase	C	ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00620,map01100,map01110,map01120,map01130,map01200
IODOLM_02288	yojI	microcin J25 efflux ABC transporter YojI	P	ko02010,map02010
IODOLM_02289		Alkylated DNA repair protein	L	-
IODOLM_02290		Regulatory protein ada	K	-
IODOLM_02291		FAD:protein FMN transferase	H	-
IODOLM_02292	ompC	porin OmpC	M	ko01501,ko02020,map01501,map02020
IODOLM_02293	rcsD	Phosphotransferase RcsD	T	ko02020,ko02026,map02020,map02026
IODOLM_02294	rcsB	transcriptional regulator RcsB	K	ko02020,ko02026,map02020,map02026
IODOLM_02295		hypothetical protein	T	ko02020,ko02026,map02020,map02026
IODOLM_02296	atoS	Signal transduction histidine-protein kinase AtoS	T	ko02020,map02020
IODOLM_02298		Acetate CoA-transferase subunit alpha	I	ko00310,ko00627,ko00640,ko00650,ko01100,ko01120,ko02020,map00310,map00627,map00640,map00650,map01100,map01120,map02020
IODOLM_02299	atoA	acetate CoA-transferase subunit beta	I	ko00072,ko00280,ko00310,ko00627,ko00640,ko00650,ko01100,ko01120,ko02020,map00072,map00280,map00310,map00627,map00640,map00650,map01100,map01120,map02020
IODOLM_02301	atoB	acetyl-CoA acetyltransferase	I	ko00071,ko00072,ko00280,ko00310,ko00362,ko00380,ko00620,ko00630,ko00640,ko00650,ko00720,ko00900,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,ko02020,map00071,map00072,map00280,map00310,map00362,map00380,map00620,map00630,map00640,map00650,map00720,map00900,map01100,map01110,map01120,map01130,map01200,map01212,map02020
IODOLM_02303	yfaQ	Uncharacterized protein YfaQ	S	-
IODOLM_02304		hypothetical protein	S	-
IODOLM_02308		DNA gyrase subunit A	L	-
IODOLM_02309		Ubiquinone biosynthesis O-methyltransferase	H	ko00130,ko01100,ko01110,map00130,map01100,map01110
IODOLM_02310	yfaL	putative autotransporter YfaL	MU	-
IODOLM_02311		Ribonucleoside-diphosphate reductase 1 subunit alpha	F	ko00230,ko00240,ko01100,map00230,map00240,map01100
IODOLM_02312		Ribonucleoside-diphosphate reductase 1 subunit beta	F	ko00230,ko00240,ko01100,map00230,map00240,map01100
IODOLM_02313	yfaE	ferredoxin-like diferric-tyrosyl radical cofactor maintenance protein YfaE	C	-
IODOLM_02316		glycerophosphodiester phosphodiesterase	C	ko00564,map00564
IODOLM_02317		Glycerol-3-phosphate transporter	P	-
IODOLM_02318		Glycerol-3-phosphate dehydrogenase	C	ko00564,ko01110,map00564,map01110
IODOLM_02319		Anaerobic glycerol-3-phosphate dehydrogenase subunit B	C	ko00564,ko01110,map00564,map01110
IODOLM_02320		Anaerobic glycerol-3-phosphate dehydrogenase subunit C	C	ko00564,ko00630,ko01100,ko01110,ko01120,ko01130,map00564,map00630,map01100,map01110,map01120,map01130
IODOLM_02323		2-keto-3-deoxy-L-rhamnonate aldolase	H	ko00051,ko00350,ko01120,map00051,map00350,map01120
IODOLM_02324		Major facilitator superfamily (MFS) profile domain-containing protein	P	-
IODOLM_02327		CinA-like protein	S	-
IODOLM_02329	nudI	Nucleoside triphosphatase NudI	L	-
IODOLM_02331		UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase	M	ko00520,ko01503,ko02020,map00520,map01503,map02020
IODOLM_02348	tnp	IS1 family IS1A transposase ORF A	L	-
IODOLM_02349		IS1 transposase	L	-
IODOLM_02350	elaD	Protease ElaD	O	-
IODOLM_02354	yfbN	Uncharacterized protein YfbN	-	-
IODOLM_02355	yfbO	Uncharacterized protein YfbO	-	-
IODOLM_02356	yfbP	Protein YfbP	S	-
IODOLM_02357		NADH-quinone oxidoreductase subunit N	C	ko00190,ko01100,map00190,map01100
IODOLM_02358		NADH-quinone oxidoreductase subunit M	C	ko00190,ko01100,map00190,map01100
IODOLM_02359		NADH-quinone oxidoreductase subunit L	C	ko00190,ko01100,map00190,map01100
IODOLM_02360		NADH-quinone oxidoreductase subunit K	C	ko00190,ko01100,map00190,map01100
IODOLM_02361		NADH-quinone oxidoreductase subunit J	C	ko00190,ko01100,map00190,map01100
IODOLM_02362		NADH-quinone oxidoreductase subunit I 2	C	ko00190,ko01100,map00190,map01100
IODOLM_02363		NADH-quinone oxidoreductase subunit H	C	ko00190,ko01100,map00190,map01100
IODOLM_02364		NADH-quinone oxidoreductase subunit G	C	ko00190,ko01100,map00190,map01100
IODOLM_02365		NADH-quinone oxidoreductase subunit F	C	ko00190,ko01100,map00190,map01100
IODOLM_02366		NADH-quinone oxidoreductase subunit E	C	ko00190,ko01100,map00190,map01100
IODOLM_02367		NADH-quinone oxidoreductase subunit C/D	C	ko00190,ko01100,map00190,map01100
IODOLM_02368	nuoB	NADH-quinone oxidoreductase subunit NuoB	C	ko00190,ko01100,map00190,map01100
IODOLM_02369	nuoA	NADH-quinone oxidoreductase subunit NuoA	C	ko00190,ko01100,map00190,map01100
IODOLM_02373		5'-deoxynucleotidase VP0926	F	ko00240,ko01100,map00240,map01100
IODOLM_02374		RCK C-terminal domain-containing protein	P	-
IODOLM_02375	hxpA	hexitol phosphatase HxpA	S	-
IODOLM_02376	yfbU	UPF0304 protein YfbU	S	-
IODOLM_02377	yfbV	UPF0208 membrane protein YfbV	S	-
IODOLM_02380	yfcC	Putative basic amino acid antiporter YfcC	S	-
IODOLM_02381		Putative NUDIX hydrolase	I	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130
IODOLM_02382		Phosphoesterase	S	-
IODOLM_02384		GSH-dependent disulfide bond oxidoreductase	O	-
IODOLM_02386	yfcH	Epimerase family protein yfcH	S	-
IODOLM_02389	hisM	Histidine/lysine/arginine/ornithine transport system permease protein HisM	E	ko02010,map02010
IODOLM_02390	hisQ	histidine ABC transporter permease HisQ	P	ko02010,map02010
IODOLM_02391		Solute-binding protein family 3/N-terminal domain-containing protein	ET	ko02010,map02010
IODOLM_02392		Solute-binding protein family 3/N-terminal domain-containing protein	ET	ko02010,map02010
IODOLM_02393	ubiX	flavin prenyltransferase UbiX	H	ko00130,ko00627,ko00940,ko01100,ko01110,ko01120,ko01220,map00130,map00627,map00940,map01100,map01110,map01120,map01220
IODOLM_02394		Amidophosphoribosyltransferase	F	ko00230,ko00250,ko01100,ko01110,ko01130,map00230,map00250,map01100,map01110,map01130
IODOLM_02395		Colicin V production protein	S	-
IODOLM_02396	dedD	Cell division protein DedD	D	-
IODOLM_02397		Dihydrofolate synthase/folylpolyglutamate synthase	H	ko00790,ko01100,map00790,map01100
IODOLM_02398		Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	I	ko00061,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212
IODOLM_02399	dedA	DedA family protein	S	-
IODOLM_02400		tRNA pseudouridine synthase A	J	-
IODOLM_02401		USG-1 protein	E	ko00260,ko00261,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01210,ko01230,map00260,map00261,map00270,map00300,map01100,map01110,map01120,map01130,map01210,map01230
IODOLM_02402		Erythronate-4-phosphate dehydrogenase	H	ko00750,ko01100,map00750,map01100
IODOLM_02403		Flagellar regulator flk	N	-
IODOLM_02404		Putative transporter protein	EGP	-
IODOLM_02405		3-oxoacyl-[acyl-carrier-protein] synthase 1	I	ko00061,ko00780,ko01100,ko01212,map00061,map00780,map01100,map01212
IODOLM_02408	epmC	elongation factor P hydroxylase	S	-
IODOLM_02409		putative membrane transporter protein	S	-
IODOLM_02410		Penicillin-insensitive murein endopeptidase	M	-
IODOLM_02411		Chorismate synthase	E	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230
IODOLM_02413	smrB	Ribosome rescue factor SmrB	S	-
IODOLM_02422	sixA	Phosphohistidine phosphatase SixA	T	-
IODOLM_02423		enoyl-CoA hydratase	I	ko00071,ko00280,ko00281,ko00310,ko00362,ko00380,ko00410,ko00640,ko00650,ko00903,ko00930,ko01040,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00071,map00280,map00281,map00310,map00362,map00380,map00410,map00640,map00650,map00903,map00930,map01040,map01100,map01110,map01120,map01130,map01200,map01212
IODOLM_02424		3-ketoacyl-CoA thiolase	I	ko00071,ko00280,ko00281,ko00362,ko00592,ko00642,ko01100,ko01110,ko01120,ko01130,ko01212,map00071,map00280,map00281,map00362,map00592,map00642,map01100,map01110,map01120,map01130,map01212
IODOLM_02427	yfdF	Uncharacterized protein YfdF	-	-
IODOLM_02428	mlaA	Intermembrane phospholipid transport system lipoprotein MlaA	M	-
IODOLM_02429		Putative transport	P	-
IODOLM_02432	yfdI	Uncharacterized protein YfdI	-	-
IODOLM_02444	torI	response regulator inhibitor TorI	K	-
IODOLM_02448	emrY	multidrug efflux MFS transporter permease subunit EmrY	EGP	ko02020,map02020
IODOLM_02449	emrK	multidrug efflux MFS transporter periplasmic adaptor subunit EmrK	V	ko02020,map02020
IODOLM_02450		DNA-binding response regulator	K	ko02020,ko05133,map02020,map05133
IODOLM_02452		Acetyl-CoA:oxalate CoA-transferase	C	-
IODOLM_02453	yfdV	Uncharacterized transporter YfdV	U	-
IODOLM_02454		Oxalyl-CoA decarboxylase	EH	ko00630,ko01100,map00630,map01100
IODOLM_02455		Formyl-CoA:oxalate CoA-transferase	C	-
IODOLM_02459		Lipid A biosynthesis palmitoleoyltransferase	M	ko00540,ko01100,map00540,map01100
IODOLM_02460		Aminotransferase	E	-
IODOLM_02461	ypdA	two-component system sensor histidine kinase YpdA	T	-
IODOLM_02462	ypdB	two-component system response regulator YpdB	K	ko02020,map02020
IODOLM_02463		HTH araC/xylS-type domain-containing protein	K	-
IODOLM_02467		Fructose-like permease IIC component 1	G	-
IODOLM_02469		Glucokinase	F	ko00010,ko00052,ko00500,ko00520,ko00521,ko00524,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00052,map00500,map00520,map00521,map00524,map01100,map01110,map01120,map01130,map01200
IODOLM_02472	mntH	Mn(2+) uptake NRAMP transporter MntH	P	-
IODOLM_02473	nupC	nucleoside permease NupC	U	-
IODOLM_02474	tnp	IS4 family IS421 transposase	L	-
IODOLM_02475		hypothetical protein		
IODOLM_02476		Putative diguanylate cyclase	T	-
IODOLM_02477	yfeC	Uncharacterized protein YfeC	L	-
IODOLM_02478	yfeD	Uncharacterized protein YfeD	L	-
IODOLM_02479		Glutamate--tRNA ligase	J	ko00860,ko00970,ko01100,ko01110,ko01120,map00860,map00970,map01100,map01110,map01120
IODOLM_02480	xapR	DNA-binding transcriptional regulator XapR	K	-
IODOLM_02485		Bile acid:sodium symporter	S	-
IODOLM_02489	cysZ	Sulfate transporter CysZ	E	-
IODOLM_02490		Cysteine synthase	E	ko00270,ko00920,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00270,map00920,map01100,map01110,map01120,map01130,map01200,map01230
IODOLM_02491		Phosphocarrier protein HPr	G	ko02060,map02060
IODOLM_02496	yfeS	Uncharacterized protein YfeS	S	-
IODOLM_02497		Cysteine synthase B	E	ko00270,ko00920,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00270,map00920,map01100,map01110,map01120,map01130,map01200,map01230
IODOLM_02498	cysA	Sulfate/thiosulfate import ATP-binding protein CysA	P	ko00920,ko02010,map00920,map02010
IODOLM_02499	cysW	Sulphate transport system permease protein CysW	P	ko00920,ko02010,map00920,map02010
IODOLM_02500	cysT	Sulfate transport system permease protein CysT	P	ko00920,ko02010,map00920,map02010
IODOLM_02501	cysP	thiosulfate/sulfate ABC transporter substrate-binding protein CysP	P	ko00920,ko02010,map00920,map02010
IODOLM_02502	ucpA	Oxidoreductase UcpA	IQ	ko00051,ko00061,ko00333,ko00780,ko01040,ko01100,ko01120,ko01130,ko01212,map00051,map00061,map00333,map00780,map01040,map01100,map01120,map01130,map01212
IODOLM_02504		N-acetylmuramic acid 6-phosphate etherase	S	ko00520,ko01100,map00520,map01100
IODOLM_02505		PTS system N-acetylmuramic acid-specific EIIBC component	G	ko00520,ko02060,map00520,map02060
IODOLM_02506		Putative D-alanyl-D-alanine carboxypeptidase	V	ko00550,map00550
IODOLM_02507	yfeX	porphyrinogen peroxidase	P	-
IODOLM_02509	yfeZ	Inner membrane protein YfeZ	S	-
IODOLM_02510		Acetyltransferase EBL_c10900	K	-
IODOLM_02513	eutR	HTH-type DNA-binding transcriptional activator EutR	K	-
IODOLM_02519	yffL	Uncharacterized protein YffL		
IODOLM_02526	yffS	Uncharacterized protein YffS		
IODOLM_02537	eutP	putative acetate kinase EutP	E	-
IODOLM_02539	maeB	NADP-dependent oxaloacetate-decarboxylating malate dehydrogenase	C	ko00620,ko00710,ko01100,ko01120,ko01200,ko02020,map00620,map00710,map01100,map01120,map01200,map02020
IODOLM_02540		Transaldolase	F	ko00030,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map01100,map01110,map01120,map01130,map01200,map01230
IODOLM_02541		Transketolase	G	ko00030,ko00710,ko01051,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00710,map01051,map01100,map01110,map01120,map01130,map01200,map01230
IODOLM_02542		DUF1176 domain-containing protein	S	-
IODOLM_02543		GDP-mannose pyrophosphatase	L	-
IODOLM_02544	aegA	Putative oxidoreductase AegA	C	ko00250,ko00910,ko01100,ko01110,ko01120,ko01130,ko01230,map00250,map00910,map01100,map01110,map01120,map01130,map01230
IODOLM_02545	narQ	Nitrate/nitrite sensor protein NarQ	T	ko02020,map02020
IODOLM_02546		Efflux pump membrane transporter	U	ko02020,map02020
IODOLM_02547	ypfM	Protein YpfM		
IODOLM_02548	arsC	ArsC family reductase	P	-
IODOLM_02550		hypothetical protein	S	-
IODOLM_02554		Phosphoribosylaminoimidazole-succinocarboxamide synthase	F	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130
IODOLM_02556	bamC	Outer membrane protein assembly factor BamC	M	-
IODOLM_02557		4-hydroxy-tetrahydrodipicolinate synthase	E	ko00261,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00261,map00300,map01100,map01110,map01120,map01130,map01230
IODOLM_02558		Glycine cleavage system transcriptional repressor	K	ko02026,map02026
IODOLM_02559		thioredoxin-dependent peroxiredoxin	O	-
IODOLM_02572		Putative permease	S	-
IODOLM_02573	bepA	beta-barrel assembly-enhancing protease	S	-
IODOLM_02574		Arsenate reductase	P	-
IODOLM_02575	dnaA	DnaA regulatory inactivator Hda	J	-
IODOLM_02576		Uracil permease	F	-
IODOLM_02577		Uracil phosphoribosyltransferase	F	ko00240,ko01100,map00240,map01100
IODOLM_02578		Phosphoribosylformylglycinamidine cyclo-ligase	F	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130
IODOLM_02579		Phosphoribosylglycinamide formyltransferase	F	ko00230,ko00670,ko01100,ko01110,ko01130,map00230,map00670,map01100,map01110,map01130
IODOLM_02580		Polyphosphate kinase	F	ko00190,ko03018,map00190,map03018
IODOLM_02581		Exopolyphosphatase	FP	ko00230,map00230
IODOLM_02584		hypothetical protein	S	-
IODOLM_02588		Inosine-5'-monophosphate dehydrogenase	F	ko00230,ko00983,ko01100,ko01110,map00230,map00983,map01100,map01110
IODOLM_02589		Exodeoxyribonuclease 7 large subunit	L	ko03430,map03430
IODOLM_02590		Zinc ribbon protein	S	-
IODOLM_02591		GTPase Der	J	-
IODOLM_02592	bamB	Outer membrane protein assembly factor BamB	M	-
IODOLM_02593	yfgM	ancillary SecYEG translocon subunit YfgM	S	-
IODOLM_02594		Histidine--tRNA ligase	J	ko00970,map00970
IODOLM_02595		Flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	I	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130
IODOLM_02596	rodZ	Cytoskeleton protein RodZ	S	-
IODOLM_02598		Nucleoside diphosphate kinase	F	ko00230,ko00240,ko00983,ko01100,ko01110,ko01130,ko04016,map00230,map00240,map00983,map01100,map01110,map01130,map04016
IODOLM_02601		3-mercaptopyruvate sulfurtransferase	P	ko00270,ko00920,ko01100,ko01120,ko04122,map00270,map00920,map01100,map01120,map04122
IODOLM_02602	sseB	Enhanced serine sensitivity protein SseB	S	-
IODOLM_02603		Peptidase B	E	ko00480,ko01100,map00480,map01100
IODOLM_02605		2Fe-2S ferredoxin	C	-
IODOLM_02606	hscA	Chaperone protein HscA	O	-
IODOLM_02607	hscB	Co-chaperone protein HscB	O	-
IODOLM_02608	iscA	Iron-binding protein IscA	S	-
IODOLM_02609	iscU	Iron-sulfur cluster assembly scaffold protein IscU	C	-
IODOLM_02610	iscS	cysteine desulfurase	E	ko00730,ko01100,ko04122,map00730,map01100,map04122
IODOLM_02611	iscR	Fe-S cluster assembly transcriptional regulator IscR	K	-
IODOLM_02612	trmJ	tRNA (cytidine/uridine/adenosine-2'-O-)-methyltransferase TrmJ	J	-
IODOLM_02613	suhB	Nus factor SuhB	G	ko00521,ko00562,ko01100,ko04070,map00521,map00562,map01100,map04070
IODOLM_02614	yfhR	Uncharacterized protein YfhR	S	-
IODOLM_02617	hcaR	Hca operon transcriptional activator HcaR	K	-
IODOLM_02618		3-phenylpropionate/cinnamic acid dioxygenase subunit alpha	P	ko00360,ko00361,ko00362,ko00621,ko00623,ko00625,ko01100,ko01120,ko01220,map00360,map00361,map00362,map00621,map00623,map00625,map01100,map01120,map01220
IODOLM_02621	hcaB	3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase	IQ	ko00360,ko00624,ko00626,ko01100,ko01120,ko01220,map00360,map00624,map00626,map01100,map01120,map01220
IODOLM_02622		3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component	P	ko00071,ko00360,ko00622,ko01120,ko01220,map00071,map00360,map00622,map01120,map01220
IODOLM_02623		Inner membrane protein	S	-
IODOLM_02627	yphE	Uncharacterized ABC transporter ATP-binding protein YphE	P	-
IODOLM_02628		Monosaccharide ABC transporter substrate-binding protein (CUT2 family)	G	-
IODOLM_02629		TPR repeat-containing protein	S	-
IODOLM_02630	yphH	Uncharacterized protein YphH	K	-
IODOLM_02631	glyA	serine hydroxymethyltransferase	E	ko00260,ko00460,ko00630,ko00670,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko01523,map00260,map00460,map00630,map00670,map00680,map01100,map01110,map01120,map01130,map01200,map01230,map01523
IODOLM_02632		Flavohemoprotein	C	ko05132,map05132
IODOLM_02633		Nitrogen regulatory protein P-II	K	ko02020,map02020
IODOLM_02634	qseF	two-component system response regulator QseF/GlrR	K	ko02020,ko02024,map02020,map02024
IODOLM_02636	qseE	two component system sensor histidine kinase QseE/GlrK	T	ko02020,ko02024,map02020,map02024
IODOLM_02637		Phosphoribosylformylglycinamidine synthase	F	ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130
IODOLM_02639		tRNA-specific adenosine deaminase	F	-
IODOLM_02640		Phosphatidylglycerophosphatase C	E	ko00564,map00564
IODOLM_02641		MurPQ operon repressor	K	-
IODOLM_02642	yfhL	4Fe-4S dicluster ferredoxin YfhL	C	-
IODOLM_02644		Pyridoxine 5'-phosphate synthase	H	ko00750,ko01100,map00750,map01100
IODOLM_02645	recO	DNA repair protein RecO	L	ko03440,map03440
IODOLM_02646		GTPase Era	S	-
IODOLM_02647		Ribonuclease 3	J	ko03008,ko05205,map03008,map05205
IODOLM_02648		Signal peptidase I	U	ko02024,ko03060,map02024,map03060
IODOLM_02649		Elongation factor 4	J	ko05134,map05134
IODOLM_02652	rseA	Anti-sigma-E factor RseA	T	-
IODOLM_02655	trmN	tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase TrmN	J	-
IODOLM_02656	srmB	ATP-dependent RNA helicase SrmB	F	-
IODOLM_02657	yfiE	Uncharacterized HTH-type transcriptional regulator YfiE	K	-
IODOLM_02658		Cysteine/O-acetylserine efflux protein	U	-
IODOLM_02659		Glycine radical domain-containing protein	S	-
IODOLM_02661	yfiF	Uncharacterized tRNA/rRNA methyltransferase YfiF	J	-
IODOLM_02662		Thioredoxin	O	-
IODOLM_02663	tapT	tRNA-uridine aminocarboxypropyltransferase	S	-
IODOLM_02664	pat	protein lysine acetyltransferase	CJ	-
IODOLM_02667	kgtP	alpha-ketoglutarate permease	EGP	-
IODOLM_02670	clpB	Chaperone protein ClpB	O	ko04213,map04213
IODOLM_02673	bamD	Outer membrane protein assembly factor BamD	M	-
IODOLM_02674		Ribosome-associated inhibitor A	J	-
IODOLM_02675		Bifunctional chorismate mutase/prephenate dehydratase	E	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230
IODOLM_02676		T-protein	E	ko00400,ko00401,ko01100,ko01110,ko01130,ko01230,map00400,map00401,map01100,map01110,map01130,map01230
IODOLM_02677	aroF	3-deoxy-7-phosphoheptulonate synthase AroF	E	ko00400,ko01100,ko01110,ko01130,ko01230,ko02024,map00400,map01100,map01110,map01130,map01230,map02024
IODOLM_02678		Lipoprotein	S	-
IODOLM_02679		156G surface protein	S	-
IODOLM_02681	yfiB	Putative lipoprotein YfiB	M	-
IODOLM_02682		Large ribosomal subunit protein bL19	J	ko03010,map03010
IODOLM_02683		tRNA (guanine-N(1)-)-methyltransferase	J	-
IODOLM_02684	rimM	Ribosome maturation factor RimM	J	-
IODOLM_02685		Small ribosomal subunit protein bS16	J	ko03010,map03010
IODOLM_02686		Signal recognition particle protein	U	ko02024,ko03060,ko03070,map02024,map03060,map03070
IODOLM_02688	yfjD	UPF0053 inner membrane protein YfjD	P	-
IODOLM_02689	grpE	Protein GrpE	O	-
IODOLM_02692	bamE	Outer membrane protein assembly factor BamE	M	-
IODOLM_02693		UPF0125 protein NCTC10665_01251	S	-
IODOLM_02694	ratA	type II toxin-antitoxin system toxin RatA	I	-
IODOLM_02695		SsrA-binding protein	J	-
IODOLM_02697	intA	Prophage integrase IntA	L	-
IODOLM_02698	yfjH	Uncharacterized protein YfjH	-	-
IODOLM_02699	alpA	DNA-binding transcriptional activator AlpA	K	-
IODOLM_02700		DUF3987 domain-containing protein	S	-
IODOLM_02702		Anti-bacteriophage protein B	L	-
IODOLM_02703	abpA	anti-bacteriophage protein AbpA	S	-
IODOLM_02705	rnlB	type II toxin-antitoxin system antitoxin RnlB	S	-
IODOLM_02707		Putative plasmid-like protein	S	-
IODOLM_02712		hypothetical protein	P	-
IODOLM_02713		Arsenical pump membrane protein	P	-
IODOLM_02721	ypjA	adhesin-like autotransporter YpjA/EhaD	MU	-
IODOLM_02727		Glutarate 2-hydroxylase	C	-
IODOLM_02728		L-2-hydroxyglutarate dehydrogenase	C	-
IODOLM_02729		Succinate-semialdehyde dehydrogenase	C	ko00250,ko00310,ko00350,ko00650,ko00760,ko01100,ko01120,map00250,map00310,map00350,map00650,map00760,map01100,map01120
IODOLM_02730		4-aminobutyrate aminotransferase	E	ko00250,ko00280,ko00310,ko00410,ko00640,ko00650,ko01100,ko01120,map00250,map00280,map00310,map00410,map00640,map00650,map01100,map01120
IODOLM_02732		HTH gntR-type domain-containing protein	K	-
IODOLM_02734		hypothetical protein	S	-
IODOLM_02735		Transcriptional regulator	K	-
IODOLM_02736	ygaP	thiosulfate sulfurtransferase YgaP	P	-
IODOLM_02737		DNA-binding protein H-NS	K	-
IODOLM_02738	alaE	L-alanine exporter AlaE	U	-
IODOLM_02739	ygaC	Uncharacterized protein YgaC	S	-
IODOLM_02740	ygaM	Protein ygaM	S	-
IODOLM_02741	nrdH	Glutaredoxin-like protein NrdH	O	-
IODOLM_02742	nrdI	Protein NrdI	F	-
IODOLM_02743		Ribonucleoside-diphosphate reductase subunit alpha	F	ko00230,ko00240,ko01100,map00230,map00240,map01100
IODOLM_02744		Ribonucleoside-diphosphate reductase subunit beta	F	ko00230,ko00240,ko01100,map00230,map00240,map01100
IODOLM_02745		Quaternary amine transport ATP-binding protein	P	ko02010,map02010
IODOLM_02746	tnp	IS1 family IS1A transposase ORF A	L	-
IODOLM_02747		IS1 transposase	L	-
IODOLM_02748	proW	Proline/glycine betaine ABC transporter permease ProW	P	ko02010,map02010
IODOLM_02749		Glycine betaine/proline betaine-binding periplasmic protein	E	ko02010,map02010
